battery_id,rel_cycle,soh,series,trajectory_id
b4c38,2,98.83403778076172,forecast branch 5,4
b4c38,3,98.82539367675781,forecast branch 5,4
b4c38,4,98.81856536865234,forecast branch 5,4
b4c38,5,98.80915832519531,forecast branch 5,4
b4c38,6,98.79769897460938,forecast branch 5,4
b4c38,7,98.78479766845703,forecast branch 5,4
b4c38,8,98.77112579345703,forecast branch 5,4
b4c38,9,98.75617218017578,forecast branch 5,4
b4c38,10,98.73821258544922,forecast branch 5,4
b4c38,11,98.71566009521484,forecast branch 5,4
b4c38,12,98.6794662475586,forecast branch 5,4
b4c38,13,98.62570190429688,forecast branch 5,4
b4c38,14,98.5557861328125,forecast branch 5,4
b4c38,15,98.47178649902344,forecast branch 5,4
b4c38,1,98.849365234375,forecast branch 6,5
b4c38,2,98.83820343017578,forecast branch 6,5
b4c38,3,98.83499908447266,forecast branch 6,5
b4c38,4,98.83277893066406,forecast branch 6,5
b4c38,5,98.82777404785156,forecast branch 6,5
b4c38,6,98.82007598876953,forecast branch 6,5
b4c38,7,98.81000518798828,forecast branch 6,5
b4c38,8,98.79834747314453,forecast branch 6,5
b4c38,9,98.78359985351562,forecast branch 6,5
b4c38,10,98.76426696777344,forecast branch 6,5
b4c38,11,98.73394012451172,forecast branch 6,5
b4c38,12,98.68624114990234,forecast branch 6,5
b4c38,13,98.62155151367188,forecast branch 6,5
b4c38,14,98.54206848144531,forecast branch 6,5
b4c38,15,98.44970703125,forecast branch 6,5
b4c38,1,98.82495880126953,forecast branch 7,6
b4c38,2,98.8100814819336,forecast branch 7,6
b4c38,3,98.80902862548828,forecast branch 7,6
b4c38,4,98.80935668945312,forecast branch 7,6
b4c38,5,98.80442810058594,forecast branch 7,6
b4c38,6,98.79570770263672,forecast branch 7,6
b4c38,7,98.78466796875,forecast branch 7,6
b4c38,8,98.77037048339844,forecast branch 7,6
b4c38,9,98.75164031982422,forecast branch 7,6
b4c38,10,98.72312927246094,forecast branch 7,6
b4c38,11,98.67813110351562,forecast branch 7,6
b4c38,12,98.6160888671875,forecast branch 7,6
b4c38,13,98.5390853881836,forecast branch 7,6
b4c38,14,98.44898223876953,forecast branch 7,6
b4c38,15,98.34745788574219,forecast branch 7,6
b4c38,1,98.86219787597656,forecast branch 8,7
b4c38,2,98.85801696777344,forecast branch 8,7
b4c38,3,98.85759735107422,forecast branch 8,7
b4c38,4,98.85578155517578,forecast branch 8,7
b4c38,5,98.84833526611328,forecast branch 8,7
b4c38,6,98.83783721923828,forecast branch 8,7
b4c38,7,98.82571411132812,forecast branch 8,7
b4c38,8,98.81201171875,forecast branch 8,7
b4c38,9,98.7950439453125,forecast branch 8,7
b4c38,10,98.77278900146484,forecast branch 8,7
b4c38,11,98.7359619140625,forecast branch 8,7
b4c38,12,98.68158721923828,forecast branch 8,7
b4c38,13,98.6112289428711,forecast branch 8,7
b4c38,14,98.52690124511719,forecast branch 8,7
b4c38,15,98.43038177490234,forecast branch 8,7
b4c38,1,98.86557006835938,forecast branch 9,8
b4c38,2,98.86491394042969,forecast branch 9,8
b4c38,3,98.8727035522461,forecast branch 9,8
b4c38,4,98.87102508544922,forecast branch 9,8
b4c38,5,98.86270141601562,forecast branch 9,8
b4c38,6,98.85103607177734,forecast branch 9,8
b4c38,7,98.83763885498047,forecast branch 9,8
b4c38,8,98.8217544555664,forecast branch 9,8
b4c38,9,98.80168914794922,forecast branch 9,8
b4c38,10,98.7729263305664,forecast branch 9,8
b4c38,11,98.7280044555664,forecast branch 9,8
b4c38,12,98.66610717773438,forecast branch 9,8
b4c38,13,98.58927917480469,forecast branch 9,8
b4c38,14,98.4993667602539,forecast branch 9,8
b4c38,15,98.39803314208984,forecast branch 9,8
b4c38,1,98.8543701171875,forecast branch 10,9
b4c38,2,98.85198974609375,forecast branch 10,9
b4c38,3,98.85446166992188,forecast branch 10,9
b4c38,4,98.84954833984375,forecast branch 10,9
b4c38,5,98.83978271484375,forecast branch 10,9
b4c38,6,98.82780456542969,forecast branch 10,9
b4c38,7,98.81468963623047,forecast branch 10,9
b4c38,8,98.79939270019531,forecast branch 10,9
b4c38,9,98.77962493896484,forecast branch 10,9
b4c38,10,98.74893951416016,forecast branch 10,9
b4c38,11,98.7018051147461,forecast branch 10,9
b4c38,12,98.6378402709961,forecast branch 10,9
b4c38,13,98.55913543701172,forecast branch 10,9
b4c38,14,98.46754455566406,forecast branch 10,9
b4c38,15,98.36473083496094,forecast branch 10,9
b4c38,1,98.86473846435547,forecast branch 11,10
b4c38,2,98.86503601074219,forecast branch 11,10
b4c38,3,98.8678970336914,forecast branch 11,10
b4c38,4,98.8656997680664,forecast branch 11,10
b4c38,5,98.85781860351562,forecast branch 11,10
b4c38,6,98.84648132324219,forecast branch 11,10
b4c38,7,98.83245086669922,forecast branch 11,10
b4c38,8,98.81514739990234,forecast branch 11,10
b4c38,9,98.7929458618164,forecast branch 11,10
b4c38,10,98.75804138183594,forecast branch 11,10
b4c38,11,98.70675659179688,forecast branch 11,10
b4c38,12,98.63924407958984,forecast branch 11,10
b4c38,13,98.5574722290039,forecast branch 11,10
b4c38,14,98.46321105957031,forecast branch 11,10
b4c38,15,98.35807037353516,forecast branch 11,10
b4c38,1,98.83527374267578,forecast branch 12,11
b4c38,2,98.82506561279297,forecast branch 12,11
b4c38,3,98.82514953613281,forecast branch 12,11
b4c38,4,98.82347106933594,forecast branch 12,11
b4c38,5,98.81767272949219,forecast branch 12,11
b4c38,6,98.8082046508789,forecast branch 12,11
b4c38,7,98.79654693603516,forecast branch 12,11
b4c38,8,98.78308868408203,forecast branch 12,11
b4c38,9,98.76632690429688,forecast branch 12,11
b4c38,10,98.74481201171875,forecast branch 12,11
b4c38,11,98.71023559570312,forecast branch 12,11
b4c38,12,98.65850067138672,forecast branch 12,11
b4c38,13,98.59050750732422,forecast branch 12,11
b4c38,14,98.50826263427734,forecast branch 12,11
b4c38,15,98.41357421875,forecast branch 12,11
