dataset,battery_id,min_early_cap,in_pool
MIT,b4c0,1.040888,True
MIT,b4c1,1.0485864,True
MIT,b4c2,1.0528909,True
MIT,b4c3,1.0472015,True
MIT,b4c4,1.0403235,True
MIT,b4c5,1.0372031,True
MIT,b4c6,1.0365249,True
MIT,b4c7,1.0520411,True
MIT,b4c8,1.0493239,True
MIT,b4c9,1.0581099,True
MIT,b4c10,1.0622921,True
MIT,b4c11,1.0595437,True
MIT,b4c12,1.0582842,True
MIT,b4c13,1.0661443,True
MIT,b4c14,1.0608871,True
MIT,b4c15,1.0619049,True
MIT,b4c16,1.0568949,True
MIT,b4c17,1.0399547,True
MIT,b4c18,1.0509504,True
MIT,b4c19,1.0501964,True
MIT,b4c20,1.0449144,True
MIT,b4c21,1.055334,True
MIT,b4c22,1.0505757,True
MIT,b4c23,1.0484043,True
MIT,b4c24,1.0457271,True
MIT,b4c25,1.0331953,True
MIT,b4c26,1.0366046,True
MIT,b4c27,1.036779,True
MIT,b4c28,1.064672,True
MIT,b4c29,1.0659338,True
MIT,b4c30,1.0495136,True
MIT,b4c31,1.0516968,True
MIT,b4c32,1.0548424,True
MIT,b4c33,1.0641173,True
MIT,b4c34,1.05024,True
MIT,b4c35,1.0538011,True
MIT,b4c36,1.0591965,True
MIT,b4c37,1.0432017,True
MIT,b4c38,1.0575176,True
MIT,b4c39,1.0486457,True
MIT,b4c40,1.0585998,True
MIT,b4c41,1.0563668,True
MIT,b4c42,1.0496252,True
MIT,b4c43,1.0414901,True
MIT,b4c44,1.0440243,True
